actor_name,acting_credits,avg_rating
Toshirô Mifune,25,7.71
Fahadh Faasil,22,7.70
Leonardo DiCaprio,28,7.42
Vijay Sethupathi,26,7.32
Dulquer Salmaan,22,7.31
Aamir Khan,24,7.21
Charles Laughton,24,7.20
Walter Brennan,21,7.20
James Stewart,55,7.16
Anthony Quinn,26,7.13
Ingrid Bergman,23,7.13
Claude Rains,27,7.12
Brad Pitt,44,7.12
Jean Arthur,20,7.12
Laurence Olivier,28,7.12
Jean-Paul Belmondo,20,7.11
Henry Fonda,47,7.11
Philip Seymour Hoffman,27,7.11
Nassar,22,7.11
Prakash Raj,34,7.10
Jack Lemmon,29,7.10
Humphrey Bogart,56,7.07
Marlene Dietrich,23,7.07
Melvyn Douglas,23,7.07
Edward Norton,25,7.07
Joseph Cotten,22,7.06
Robert Ryan,29,7.06
Ryan Gosling,23,7.06
James Garner,21,7.06
Joan Blondell,21,7.06
Sidney Poitier,20,7.05
Gregory Peck,37,7.05
Spencer Tracy,41,7.05
Burt Lancaster,53,7.03
Edward G. Robinson,37,7.03
Mads Mikkelsen,22,7.03
Samantha Ruth Prabhu,23,7.03
Errol Flynn,21,7.02
Ian McKellen,25,7.02
Mary Astor,20,7.02
Christian Bale,38,7.02
Olivia de Havilland,25,7.02
Alain Delon,21,7.02
Fredric March,27,7.01
Fred Astaire,24,7.01
Joaquin Phoenix,34,7.01
Cary Grant,54,7.00
Woody Allen,30,7.00
Dhanush,23,6.99
Paul Newman,38,6.99
William Holden,33,6.99
Lee Marvin,21,6.98
Tyrone Power,21,6.98
Fred MacMurray,20,6.98
Tom Cruise,38,6.97
James Mason,38,6.97
Matt Damon,46,6.97
Robert Mitchum,39,6.96
Denzel Washington,43,6.96
Ronald Colman,22,6.96
Katharine Hepburn,33,6.96
Dustin Hoffman,38,6.96
Kate Winslet,34,6.96
Ralph Richardson,23,6.95
Jake Gyllenhaal,33,6.95
Gena Rowlands,20,6.95
William Powell,38,6.95
Frances McDormand,21,6.95
Nigel Bruce,21,6.95
Elizabeth Taylor,20,6.95
Walter Huston,21,6.95
Ricardo Darín,20,6.94
Lee J. Cobb,23,6.94
Lionel Barrymore,31,6.94
Amitabh Bachchan,46,6.93
George Sanders,28,6.93
Kirk Douglas,41,6.93
Tom Hanks,55,6.93
Maureen O'Hara,25,6.93
Mark Ruffalo,31,6.92
Donald Crisp,28,6.92
James Cagney,38,6.92
Clint Eastwood,48,6.91
Daniel Craig,25,6.91
Irrfan Khan,28,6.91
Barbara Stanwyck,45,6.91
Ginger Rogers,30,6.91
Catherine Deneuve,27,6.91
Wallace Beery,20,6.90
Rachel McAdams,27,6.90
Emily Watson,22,6.90
Marlon Brando,33,6.90
Bette Davis,71,6.90
Adolphe Menjou,21,6.90
Shirley Temple,22,6.90
Walter Matthau,34,6.89
Geoffrey Rush,25,6.89
Gary Cooper,45,6.89
Helena Bonham Carter,23,6.88
Greta Garbo,24,6.88
Scarlett Johansson,35,6.87
Glenn Ford,23,6.87
Doris Day,23,6.87
Hugh Jackman,31,6.86
Brendan Gleeson,20,6.86
Conrad Veidt,21,6.85
Basil Rathbone,31,6.85
Max von Sydow,34,6.85
George Brent,21,6.85
Jodie Foster,24,6.85
Robert Redford,41,6.84
Louis de Funès,24,6.84
Richard Burton,22,6.84
Cate Blanchett,44,6.83
Myrna Loy,36,6.83
Randolph Scott,23,6.83
Amy Adams,29,6.83
Tilda Swinton,26,6.82
Peter Lorre,29,6.81
Jack Nicholson,39,6.81
Charlton Heston,25,6.80
Joseph Gordon-Levitt,25,6.80
Richard Widmark,29,6.79
Kevin Costner,41,6.79
Benicio Del Toro,21,6.78
John Barrymore,26,6.78
Maggie Smith,22,6.78
Viggo Mortensen,27,6.78
Daniel Radcliffe,23,6.78
Lillian Gish,26,6.77
Robert Downey Jr.,41,6.76
Isabelle Huppert,24,6.76
Catherine Keener,27,6.76
Kevin Spacey,37,6.76
Shirley MacLaine,27,6.76
Russell Crowe,34,6.76
Shah Rukh Khan,44,6.76
Tom Hardy,21,6.76
Anupam Kher,29,6.75
Clark Gable,41,6.75
Gene Hackman,51,6.74
Sean Penn,36,6.74
John Gilbert,24,6.74
James McAvoy,29,6.74
Vanessa Redgrave,23,6.74
Al Pacino,45,6.74
Chris Evans,30,6.74
Marion Cotillard,24,6.74
Steve Carell,31,6.74
Chiwetel Ejiofor,23,6.73
Josh Brolin,24,6.73
Joseph Vijay,22,6.73
Meryl Streep,48,6.73
Michael Caine,65,6.73
Jennifer Lawrence,21,6.73
Johnny Depp,54,6.73
Mia Farrow,22,6.73
Richard Harris,22,6.73
Bradley Cooper,24,6.73
Tabu,24,6.72
Chris Hemsworth,20,6.72
Emma Thompson,28,6.72
Bing Crosby,20,6.72
Adam Driver,20,6.72
Simon Pegg,20,6.72
Tim Robbins,28,6.72
Ralph Fiennes,36,6.71
Sam Rockwell,27,6.71
Kurt Russell,38,6.71
Christopher Plummer,40,6.71
Ray Milland,23,6.71
Gael García Bernal,29,6.71
Jeff Bridges,49,6.71
Robert Duvall,41,6.70
Robert Taylor,23,6.70
Ed Harris,42,6.70
Mickey Rooney,21,6.70
Jim Broadbent,27,6.70
Alan Arkin,28,6.69
Joel Edgerton,25,6.69
Loretta Young,25,6.69
Sigourney Weaver,40,6.69
Jonah Hill,20,6.69
Robert Young,20,6.68
Sophia Loren,21,6.68
Nawazuddin Siddiqui,27,6.68
Jennifer Jason Leigh,26,6.68
Terence Hill,21,6.68
Michelle Williams,28,6.68
Rajkummar Rao,30,6.68
Faye Dunaway,21,6.68
Vidya Balan,20,6.67
Viola Davis,21,6.67
Eric Bana,20,6.67
Jeremy Irons,29,6.67
Jessica Chastain,27,6.67
Don Cheadle,27,6.66
Harrison Ford,47,6.66
Rachel Weisz,32,6.66
Javier Bardem,26,6.66
William Hurt,29,6.66
Ben Foster,25,6.66
Lon Chaney,34,6.66
Robin Wright,22,6.66
Laura Dern,23,6.65
John Hurt,28,6.65
Robert De Niro,86,6.65
Jude Law,35,6.65
Harvey Keitel,39,6.65
Bud Abbott,20,6.65
Lou Costello,20,6.65
Keira Knightley,30,6.65
Nayanthara,21,6.65
Laura Linney,27,6.65
Shia LaBeouf,23,6.65
Clive Owen,28,6.65
Stellan Skarsgård,31,6.65
Kristin Scott Thomas,31,6.64
Rani Mukerji,27,6.64
Franchot Tone,23,6.64
Frank Sinatra,24,6.63
Jennifer Connelly,32,6.63
Peter O'Toole,21,6.63
Bud Spencer,22,6.62
Sean Connery,46,6.62
Charlotte Rampling,26,6.62
David Niven,27,6.61
Ewan McGregor,51,6.61
Colin Farrell,42,6.61
Emma Stone,22,6.61
Ellen Burstyn,21,6.61
George Clooney,35,6.61
Annette Bening,33,6.61
Anthony Hopkins,53,6.61
Chris Pine,23,6.60
John Cleese,21,6.60
Oscar Isaac,24,6.60
Jessica Lange,21,6.60
Hrithik Roshan,21,6.60
Steve Buscemi,27,6.60
Peter Sarsgaard,29,6.59
Diane Kruger,24,6.59
Andy Lau,23,6.59
Vincent Cassel,34,6.59
J.K. Simmons,25,6.58
Tom Wilkinson,35,6.58
Paresh Rawal,37,6.58
Juliette Binoche,37,6.58
Will Smith,30,6.58
Jagapathi Babu,20,6.58
Luis Tosar,21,6.58
Jane Fonda,34,6.58
Warner Oland,25,6.57
Nicholas Hoult,23,6.57
Carole Lombard,22,6.56
Patrick Stewart,22,6.56
Jon Voight,23,6.56
John Goodman,44,6.55
Judi Dench,25,6.55
Bill Murray,37,6.55
Jamie Bell,24,6.55
Glenn Close,32,6.55
Bill Nighy,26,6.55
Marisa Tomei,27,6.54
Lewis Stone,25,6.54
Alicia Vikander,22,6.54
Julianne Moore,54,6.54
Charles Bronson,32,6.54
Abigail Breslin,21,6.54
Boris Karloff,44,6.54
Toni Collette,41,6.54
Natalie Portman,33,6.53
Vera Farmiga,26,6.53
Michael Douglas,37,6.53
Mark Strong,23,6.53
Gérard Depardieu,47,6.53
Gary Oldman,42,6.53
Ethan Hawke,52,6.53
Jim Carrey,29,6.53
Vincent Price,40,6.53
Marion Davies,38,6.52
John C. Reilly,30,6.52
Laurence Fishburne,30,6.52
Timothy Spall,22,6.52
Hugh Grant,24,6.52
Taapsee Pannu,25,6.51
Jesse Eisenberg,31,6.51
James Woods,27,6.51
Helen Mirren,37,6.51
Kevin Kline,33,6.51
Morgan Freeman,60,6.51
Rosamund Pike,21,6.50
Michelle Pfeiffer,38,6.50
Winona Ryder,27,6.50
Robert Montgomery,22,6.50
Donald Pleasence,23,6.50
Ryan Reynolds,42,6.50
Vin Diesel,24,6.50
Charlize Theron,43,6.50
Manoj Bajpayee,21,6.50
Woody Harrelson,54,6.50
Patricia Clarkson,25,6.50
Kevin Bacon,36,6.48
Bill Paxton,23,6.48
John Lithgow,22,6.48
Colin Firth,38,6.48
Kajal Aggarwal,21,6.48
John Wayne,84,6.48
Matthew McConaughey,44,6.48
Sally Field,23,6.47
Jamie Foxx,26,6.47
James Caan,32,6.47
Casey Affleck,21,6.47
Steve Coogan,25,6.47
Michael Keaton,31,6.47
Kiefer Sutherland,21,6.47
Sam Neill,36,6.46
Norma Shearer,20,6.46
Douglas Fairbanks,32,6.46
Michael Fassbender,26,6.46
Mel Gibson,48,6.46
Liam Neeson,57,6.46
Emily Mortimer,25,6.45
Kirsten Dunst,32,6.45
Gwyneth Paltrow,28,6.45
Rishi Kapoor,22,6.45
Christopher Walken,40,6.45
David Thewlis,22,6.45
Diane Keaton,37,6.45
Kathy Bates,26,6.45
Diane Lane,28,6.44
Elijah Wood,28,6.44
Felicity Jones,20,6.44
Emily Blunt,30,6.44
Jet Li,26,6.44
Bill Pullman,26,6.43
Willem Dafoe,57,6.43
Jeff Daniels,27,6.43
Mark Wahlberg,47,6.42
Juliette Lewis,20,6.42
Gilles Lellouche,20,6.42
Ben Kingsley,44,6.42
Robin Williams,45,6.42
Jackie Chan,56,6.41
Gerard Butler,34,6.41
Donnie Yen,25,6.41
Mary Pickford,33,6.41
Renée Zellweger,25,6.41
Vincent D'Onofrio,28,6.41
Sidney James,20,6.41
Seth Rogen,23,6.40
Anton Yelchin,20,6.40
Susan Sarandon,49,6.40
Matthew Broderick,25,6.40
Nicole Kidman,53,6.39
Reese Witherspoon,30,6.39
Donald Sutherland,44,6.39
Tommy Lee Jones,39,6.39
Charlotte Gainsbourg,23,6.39
Julia Roberts,43,6.39
Noomi Rapace,22,6.39
Jason Sudeikis,20,6.38
Anne Hathaway,32,6.38
Samuel L. Jackson,73,6.38
Keanu Reeves,47,6.38
Rose Byrne,26,6.38
Richard Dreyfuss,24,6.37
Rutger Hauer,21,6.37
Mary Steenburgen,25,6.37
Kristen Wiig,21,6.37
Nick Nolte,34,6.36
Sandra Bullock,37,6.36
Angelina Jolie,32,6.36
Matt Dillon,28,6.36
Dakota Fanning,22,6.36
Paul Giamatti,29,6.36
Steve Zahn,26,6.35
Ben Stiller,33,6.35
Naomi Watts,44,6.35
Greg Kinnear,34,6.35
Guy Pearce,36,6.34
Anna Kendrick,29,6.34
Jason Bateman,25,6.34
Aaron Eckhart,29,6.34
Radha Mitchell,22,6.34
Bruce Dern,30,6.34
Jason Statham,37,6.34
Ben Affleck,42,6.33
Elle Fanning,27,6.33
Jack Black,30,6.33
Patrick Wilson,31,6.33
Helen Hunt,21,6.33
Dennis Quaid,56,6.32
Giovanni Ribisi,20,6.32
Monica Bellucci,20,6.32
Christopher Lee,36,6.32
John Malkovich,38,6.32
Steve Martin,35,6.31
Jennifer Garner,26,6.31
Elizabeth Banks,25,6.31
Penélope Cruz,36,6.31
Maria Bello,26,6.30
Mohanlal,26,6.30
Alfred Molina,22,6.30
Kenneth Williams,20,6.30
Andy Garcia,30,6.30
Billy Bob Thornton,31,6.29
Rebecca Hall,22,6.29
Emile Hirsch,27,6.29
Paul Rudd,33,6.29
Paul Walker,21,6.29
Jeff Goldblum,21,6.28
Gabriel Byrne,20,6.28
Mila Kunis,21,6.28
Michael Shannon,29,6.28
Alec Baldwin,44,6.28
Cameron Diaz,34,6.27
Forest Whitaker,38,6.27
Channing Tatum,26,6.27
Dwayne Johnson,37,6.26
Abhishek Bachchan,23,6.26
Liev Schreiber,24,6.25
Richard Jenkins,23,6.25
Joan Cusack,23,6.25
Danny Glover,31,6.25
Peter Cushing,38,6.25
Michelle Monaghan,22,6.24
Sean Bean,25,6.24
Chloë Grace Moretz,29,6.24
Cary Elwes,26,6.24
Rosario Dawson,26,6.24
Adrien Brody,32,6.23
Dennis Hopper,24,6.23
Whoopi Goldberg,23,6.23
Michael Peña,23,6.23
Goldie Hawn,21,6.23
Danny DeVito,34,6.22
Ranbir Kapoor,20,6.22
Priyanka Chopra Jonas,28,6.21
Richard Gere,41,6.20
Olivia Wilde,23,6.20
Vince Vaughn,31,6.20
Chow Yun-Fat,24,6.20
Amanda Seyfried,25,6.19
Drew Barrymore,29,6.19
Idris Elba,24,6.19
Sam Worthington,26,6.19
Tim Allen,20,6.18
Tim Roth,34,6.18
Kate Beckinsale,32,6.18
Brian Cox,26,6.17
Jennifer Aniston,33,6.17
Jean Reno,37,6.17
John Cusack,57,6.16
Chevy Chase,20,6.16
Dan Aykroyd,31,6.16
Jamie Lee Curtis,29,6.15
Anthony Mackie,23,6.15
Angela Bassett,21,6.15
Will Ferrell,36,6.14
Meg Ryan,27,6.14
Kevin Hart,22,6.14
Pierce Brosnan,39,6.14
Val Kilmer,39,6.14
Lena Headey,20,6.13
Oliver Platt,20,6.13
Josh Hartnett,24,6.12
Saif Ali Khan,31,6.12
Deepika Padukone,25,6.12
Mickey Rourke,33,6.12
