length_minutes,avg_rating
100.0,5.3
45.0,6.4
70.0,6.0
60.0,7.4
60.0,6.3
70.0,6.8
60.0,6.0
60.0,3.7
50.0,4.1
46.0,6.4
58.0,6.5
300.0,5.9
68.0,5.9
60.0,5.1
50.0,6.8
58.0,7.8
116.0,3.4
111.0,6.3
60.0,5.5
70.0,5.8
50.0,6.6
50.0,3.7
50.0,7.3
50.0,4.8
50.0,6.4
93.0,5.7
50.0,5.0
50.0,5.2
50.0,6.2
80.0,6.9
90.0,6.1
60.0,6.5
70.0,6.5
50.0,6.8
66.0,7.1
50.0,6.1
70.0,6.3
100.0,5.7
66.0,6.1
66.0,6.1
45.0,6.6
50.0,6.9
109.0,5.7
50.0,5.6
80.0,5.5
60.0,3.9
60.0,4.2
70.0,5.2
60.0,5.6
60.0,4.4
51.0,4.8
70.0,5.3
50.0,7.6
70.0,5.8
80.0,7.0
53.0,5.7
66.0,5.4
54.0,5.7
56.0,5.5
54.0,6.7
50.0,6.2
50.0,4.0
70.0,7.4
50.0,6.5
50.0,5.8
112.0,6.3
180.0,6.9
300.0,5.6
60.0,3.9
50.0,7.0
69.0,5.5
170.0,6.0
85.0,5.9
60.0,6.3
84.0,7.0
105.0,6.5
60.0,4.7
45.0,5.4
47.0,5.3
70.0,6.8
59.0,6.6
80.0,6.0
72.0,5.5
50.0,4.8
59.0,5.5
57.0,6.6
62.0,5.6
60.0,4.9
64.0,4.9
68.0,7.3
300.0,7.2
133.0,5.8
50.0,5.8
85.0,6.7
45.0,5.9
60.0,5.5
60.0,7.2
47.0,6.4
50.0,4.4
71.0,6.3
60.0,7.0
60.0,7.0
58.0,6.3
50.0,5.3
50.0,6.0
48.0,6.0
70.0,7.1
53.0,5.6
88.0,5.5
60.0,6.2
96.0,6.8
61.0,5.2
49.0,5.5
61.0,8.1
50.0,6.8
48.0,5.9
58.0,6.4
68.0,7.1
61.0,6.1
80.0,6.7
60.0,6.4
110.0,6.1
220.0,6.3
63.0,5.5
50.0,8.2
152.0,6.7
58.0,5.9
115.0,6.2
50.0,4.8
50.0,6.2
60.0,5.7
50.0,6.0
68.0,5.9
61.0,6.6
75.0,5.1
489.0,7.7
96.0,6.0
60.0,6.2
60.0,5.2
105.0,6.0
84.0,6.4
90.0,5.9
95.0,6.1
65.0,6.3
1428.0,6.9
65.0,5.9
50.0,6.3
57.0,5.3
52.0,6.1
69.0,6.3
50.0,8.7
110.0,6.3
60.0,8.6
65.0,5.7
65.0,6.0
60.0,5.4
59.0,6.0
73.0,6.1
54.0,6.3
48.0,5.7
80.0,5.5
67.0,6.1
54.0,5.4
60.0,6.3
46.0,6.4
100.0,5.8
70.0,6.3
62.0,6.2
54.0,6.3
50.0,5.3
80.0,6.0
90.0,6.2
50.0,6.4
112.0,6.0
46.0,6.4
119.0,6.8
80.0,6.2
62.0,5.9
70.0,6.0
73.0,6.5
150.0,6.9
238.0,6.0
65.0,6.1
59.0,6.5
50.0,6.6
62.0,5.9
60.0,5.8
82.0,6.8
54.0,5.6
70.0,6.4
69.0,5.7
59.0,6.2
50.0,5.9
50.0,6.3
58.0,6.4
67.0,5.9
56.0,5.9
69.0,5.0
72.0,6.1
71.0,5.6
77.0,6.4
59.0,5.8
73.0,6.7
57.0,6.4
60.0,7.1
70.0,6.6
53.0,7.1
55.0,7.1
95.0,7.1
46.0,6.9
223.0,7.0
67.0,6.2
70.0,6.5
58.0,6.0
87.0,6.6
58.0,6.9
100.0,5.8
60.0,6.2
55.0,5.6
65.0,6.3
75.0,6.4
112.0,6.5
80.0,6.8
74.0,6.6
120.0,6.4
80.0,6.0
50.0,6.7
145.0,6.8
65.0,6.6
65.0,6.2
45.0,5.6
55.0,5.7
76.0,6.5
63.0,5.8
480.0,7.1
106.0,6.3
55.0,5.7
51.0,6.7
71.0,6.8
77.0,6.0
50.0,6.7
62.0,5.4
54.0,6.4
68.0,6.6
86.0,6.7
70.0,7.2
61.0,5.7
50.0,6.0
125.0,6.5
100.0,6.7
70.0,6.0
77.0,6.5
85.0,5.9
45.0,6.6
57.0,5.1
120.0,6.2
76.0,6.3
63.0,6.3
72.0,6.6
62.0,6.5
74.0,6.6
116.0,6.2
121.0,6.5
59.0,6.3
66.0,6.5
77.0,5.4
72.0,6.2
48.0,5.0
59.0,5.4
65.0,5.9
60.0,5.2
58.0,6.4
81.0,5.5
52.0,5.8
100.0,5.1
87.0,6.3
52.0,6.1
88.0,7.3
50.0,5.3
88.0,6.1
50.0,5.5
112.0,6.5
48.0,6.1
138.0,6.4
60.0,5.8
53.0,6.6
46.0,6.4
53.0,6.1
72.0,5.8
57.0,6.3
58.0,5.7
72.0,6.5
84.0,6.8
60.0,5.9
48.0,6.5
54.0,6.4
71.0,5.5
60.0,6.9
78.0,5.8
63.0,5.4
62.0,6.1
88.0,6.0
80.0,6.3
63.0,6.0
60.0,5.6
80.0,6.0
70.0,5.9
97.0,6.4
55.0,6.8
58.0,5.5
80.0,5.6
67.0,6.2
62.0,6.3
91.0,6.1
78.0,6.3
73.0,5.7
75.0,6.3
65.0,5.9
85.0,6.9
85.0,6.6
73.0,6.2
46.0,6.8
75.0,6.9
67.0,5.7
74.0,5.7
75.0,6.6
78.0,6.7
64.0,6.7
59.0,6.3
52.0,6.1
199.0,6.4
117.0,6.6
300.0,7.2
70.0,6.7
93.0,6.1
60.0,6.7
80.0,5.5
71.0,6.6
90.0,6.9
78.0,6.4
72.0,6.8
81.0,6.5
59.0,6.8
61.0,6.2
50.0,7.0
85.0,6.6
78.0,6.7
122.0,7.1
84.0,6.9
45.0,6.8
61.0,6.9
102.0,6.9
87.0,6.9
85.0,6.1
166.0,7.7
116.0,7.0
136.0,7.2
60.0,7.2
65.0,7.3
66.0,7.4
85.0,6.4
54.0,6.9
59.0,6.5
71.0,7.0
82.0,6.3
148.0,7.1
90.0,7.2
163.0,7.7
195.0,6.2
110.0,6.6
113.0,6.5
70.0,5.7
90.0,6.7
73.0,5.7
98.0,5.7
84.0,5.1
75.0,5.7
82.0,6.6
76.0,6.3
70.0,5.1
78.0,7.1
80.0,6.7
91.0,6.3
107.0,7.5
77.0,6.0
100.0,6.0
70.0,7.1
68.0,5.5
50.0,8.1
90.0,7.0
87.0,6.8
64.0,7.5
59.0,5.7
70.0,6.7
96.0,6.4
48.0,5.8
97.0,5.5
128.0,5.5
70.0,5.9
60.0,5.7
70.0,6.9
70.0,6.3
135.0,6.8
80.0,5.7
107.0,6.3
120.0,6.7
97.0,6.7
48.0,6.5
70.0,6.8
75.0,5.4
66.0,6.1
70.0,6.2
95.0,6.0
62.0,1.5
60.0,1.9
87.0,6.5
56.0,5.8
66.0,7.1
71.0,5.3
62.0,5.4
60.0,5.7
95.0,6.1
60.0,6.5
72.0,5.1
65.0,2.2
60.0,2.0
66.0,6.2
85.0,6.0
67.0,2.5
78.0,6.6
70.0,7.0
64.0,6.1
79.0,7.6
66.0,6.1
70.0,6.3
65.0,2.2
70.0,6.9
95.0,5.8
64.0,2.5
66.0,6.6
101.0,7.0
67.0,2.5
70.0,5.6
80.0,7.0
80.0,5.8
77.0,6.9
82.0,7.6
89.0,6.8
101.0,7.0
102.0,5.5
94.0,6.9
83.0,6.5
70.0,6.1
86.0,6.6
69.0,6.1
60.0,6.0
70.0,5.1
58.0,5.7
124.0,7.3
60.0,6.4
68.0,4.5
71.0,7.9
100.0,6.2
136.0,6.2
78.0,6.9
66.0,7.9
92.0,6.6
50.0,6.2
82.0,6.8
63.0,7.0
57.0,5.2
60.0,6.2
62.0,3.1
73.0,5.7
87.0,6.9
60.0,5.6
86.0,6.1
91.0,6.6
88.0,6.0
63.0,6.1
60.0,5.0
70.0,4.2
45.0,6.3
86.0,6.1
73.0,6.2
74.0,6.2
80.0,7.2
56.0,6.3
71.0,6.5
67.0,6.6
150.0,6.0
67.0,7.0
80.0,5.9
68.0,6.0
102.0,6.1
128.0,7.1
55.0,5.4
102.0,7.1
65.0,6.5
70.0,6.3
99.0,6.2
132.0,7.1
84.0,5.2
68.0,7.0
63.0,6.5
73.0,6.3
64.0,7.0
82.0,5.6
100.0,7.1
82.0,6.1
108.0,6.4
66.0,6.5
86.0,6.9
105.0,6.3
76.0,6.2
85.0,6.7
70.0,6.1
80.0,6.1
137.0,6.6
74.0,5.1
87.0,6.6
75.0,6.2
61.0,6.5
65.0,6.5
90.0,5.2
80.0,5.9
102.0,7.2
98.0,5.4
83.0,7.1
62.0,5.4
65.0,5.3
50.0,6.4
109.0,5.8
111.0,6.8
76.0,6.7
75.0,5.6
75.0,6.3
63.0,5.8
64.0,6.3
120.0,7.3
113.0,6.8
69.0,6.4
95.0,6.2
65.0,6.6
70.0,6.2
60.0,6.6
74.0,6.5
90.0,6.2
70.0,6.9
65.0,6.1
55.0,6.2
58.0,6.0
107.0,6.5
93.0,6.4
75.0,5.4
62.0,6.4
147.0,6.1
82.0,6.7
93.0,6.1
90.0,6.3
71.0,5.2
70.0,6.5
97.0,7.0
70.0,6.6
74.0,5.3
67.0,7.0
81.0,7.0
60.0,6.2
75.0,6.4
80.0,6.7
100.0,6.5
70.0,6.1
87.0,6.8
75.0,5.0
113.0,6.9
135.0,7.0
68.0,5.4
87.0,5.8
94.0,5.7
250.0,6.9
90.0,6.4
115.0,6.8
135.0,6.7
57.0,5.8
104.0,5.8
80.0,6.0
110.0,6.0
112.0,6.8
115.0,7.1
73.0,6.0
110.0,6.9
56.0,6.1
70.0,6.5
59.0,6.9
68.0,6.4
77.0,6.4
86.0,6.4
120.0,6.7
64.0,6.4
70.0,5.7
60.0,8.8
80.0,7.6
53.0,6.3
111.0,7.0
72.0,6.1
115.0,6.8
84.0,6.6
83.0,6.1
72.0,6.8
74.0,6.5
70.0,6.2
72.0,6.4
108.0,6.2
103.0,6.1
88.0,6.4
68.0,7.0
89.0,6.4
110.0,7.3
100.0,6.7
71.0,6.9
88.0,6.5
71.0,6.8
63.0,5.3
102.0,6.7
60.0,4.5
107.0,7.1
70.0,6.6
83.0,6.8
80.0,6.0
54.0,6.1
172.0,6.7
90.0,6.5
91.0,6.3
110.0,6.5
