release_year,movies_released
1897,1
1898,0
1899,0
1900,0
1901,0
1902,0
1903,1
1904,0
1905,0
1906,1
1907,0
1908,0
1909,0
1910,1
1911,5
1912,9
1913,22
1914,41
1915,41
1916,61
1917,53
1918,51
1919,82
1920,48
1921,42
1922,44
1923,33
1924,49
1925,68
1926,77
1927,79
1928,85
1929,133
1930,45
1931,75
1932,100
1933,90
1934,92
1935,90
1936,105
1937,90
1938,83
1939,106
1940,62
1941,62
1942,60
1943,56
1944,57
1945,62
1946,64
1947,66
1948,74
1949,77
1950,65
1951,61
1952,57
1953,63
1954,67
1955,97
1956,77
1957,81
1958,83
1959,88
1960,86
1961,76
1962,87
1963,93
1964,108
1965,92
1966,100
1967,97
1968,101
1969,96
1970,116
1971,125
1972,119
1973,115
1974,116
1975,99
1976,103
1977,112
1978,114
1979,114
1980,98
1981,96
1982,89
1983,100
1984,109
1985,129
1986,141
1987,143
1988,163
1989,151
1990,134
1991,125
1992,146
1993,157
1994,168
1995,169
1996,190
1997,191
1998,197
1999,217
2000,264
2001,282
2002,313
2003,295
2004,349
2005,375
2006,422
2007,426
2008,444
2009,443
2010,677
2011,734
2012,781
2013,847
2014,888
2015,901
2016,938
2017,987
2018,1005
2019,988
2020,875
2021,890
2022,866
