actor_name,acting_credits,avg_rating
Robert De Niro,86,6.65
Bruce Willis,85,5.54
John Wayne,84,6.48
Nicolas Cage,83,5.88
Samuel L. Jackson,73,6.38
Bette Davis,71,6.90
Michael Caine,65,6.73
Joan Crawford,60,5.93
Morgan Freeman,60,6.51
Liam Neeson,57,6.46
Willem Dafoe,57,6.43
John Cusack,57,6.16
Jackie Chan,56,6.41
Humphrey Bogart,56,7.07
Dennis Quaid,56,6.32
James Stewart,55,7.16
Tom Hanks,55,6.93
Julianne Moore,54,6.54
Cary Grant,54,7.00
Woody Harrelson,54,6.50
Johnny Depp,54,6.73
Antonio Banderas,54,6.11
Anthony Hopkins,53,6.61
Burt Lancaster,53,7.03
Nicole Kidman,53,6.39
Ethan Hawke,52,6.53
Sylvester Stallone,52,5.98
Ewan McGregor,51,6.61
Gene Hackman,51,6.74
Jeff Bridges,49,6.71
Susan Sarandon,49,6.40
John Travolta,49,5.86
Meryl Streep,48,6.73
Clint Eastwood,48,6.91
Mel Gibson,48,6.46
Harrison Ford,47,6.66
Mark Wahlberg,47,6.42
Gérard Depardieu,47,6.53
Keanu Reeves,47,6.38
Henry Fonda,47,7.11
Sean Connery,46,6.62
Matt Damon,46,6.97
Barbara Stanwyck,45,6.91
Al Pacino,45,6.74
Gary Cooper,45,6.89
Robin Williams,45,6.42
Naomi Watts,44,6.35
Ben Kingsley,44,6.42
Cate Blanchett,44,6.83
Shah Rukh Khan,44,6.76
Brad Pitt,44,7.12
Alec Baldwin,44,6.28
Donald Sutherland,44,6.39
Jean-Claude Van Damme,44,5.36
Matthew McConaughey,44,6.48
Boris Karloff,44,6.54
John Goodman,44,6.55
Charlize Theron,43,6.50
Adam Sandler,43,5.98
Julia Roberts,43,6.39
Denzel Washington,43,6.96
Gary Oldman,42,6.53
Ben Affleck,42,6.33
Colin Farrell,42,6.61
Ryan Reynolds,42,6.50
Ed Harris,42,6.70
Richard Gere,41,6.20
Owen Wilson,41,6.09
Robert Duvall,41,6.70
Clark Gable,41,6.75
Eddie Murphy,41,5.91
Robert Downey Jr.,41,6.76
Kevin Costner,41,6.79
Robert Redford,41,6.84
Toni Collette,41,6.54
Spencer Tracy,41,7.05
Kirk Douglas,41,6.93
Sigourney Weaver,40,6.69
Christopher Walken,40,6.45
Christopher Plummer,40,6.71
Harvey Keitel,39,6.65
Pierce Brosnan,39,6.14
Val Kilmer,39,6.14
Jack Nicholson,39,6.81
Tommy Lee Jones,39,6.39
Robert Mitchum,39,6.96
Paul Newman,38,6.99
Kurt Russell,38,6.71
William Powell,38,6.95
Forest Whitaker,38,6.27
Dustin Hoffman,38,6.96
James Cagney,38,6.92
James Mason,38,6.97
Marion Davies,38,6.52
Tom Cruise,38,6.97
James Franco,38,5.96
Michelle Pfeiffer,38,6.50
John Malkovich,38,6.32
Christian Bale,38,7.02
Colin Firth,38,6.48
Bill Murray,37,6.55
Jason Statham,37,6.34
Dwayne Johnson,37,6.26
Diane Keaton,37,6.45
Edward G. Robinson,37,7.03
Michael Douglas,37,6.53
Jean Reno,37,6.17
Sandra Bullock,37,6.36
Juliette Binoche,37,6.58
Kevin Spacey,37,6.76
Helen Mirren,37,6.51
Gregory Peck,37,7.05
Ralph Fiennes,36,6.71
Kevin Bacon,36,6.48
Christopher Lee,36,6.32
Guy Pearce,36,6.34
Sean Penn,36,6.74
Penélope Cruz,36,6.31
Will Ferrell,36,6.14
Myrna Loy,36,6.83
George Clooney,35,6.61
Steve Martin,35,6.31
John Leguizamo,35,6.03
Jude Law,35,6.65
Tom Wilkinson,35,6.58
Scarlett Johansson,35,6.87
Greg Kinnear,34,6.35
Danny DeVito,34,6.22
Walter Matthau,34,6.89
Vincent Cassel,34,6.59
Cameron Diaz,34,6.27
Jane Fonda,34,6.58
Arnold Schwarzenegger,34,6.07
Tim Roth,34,6.18
Kate Winslet,34,6.96
Max von Sydow,34,6.85
Russell Crowe,34,6.76
Joaquin Phoenix,34,7.01
Gerard Butler,34,6.41
Nick Nolte,34,6.36
Jennifer Aniston,33,6.17
William Holden,33,6.99
Ben Stiller,33,6.35
Mary Pickford,33,6.41
Annette Bening,33,6.61
Jake Gyllenhaal,33,6.95
Paul Rudd,33,6.29
Katharine Hepburn,33,6.96
Kevin Kline,33,6.51
Natalie Portman,33,6.53
Marlon Brando,33,6.90
Salma Hayek,33,6.02
Mickey Rourke,33,6.12
Kristen Stewart,33,6.10
Rachel Weisz,32,6.66
Adrien Brody,32,6.23
Anne Hathaway,32,6.38
Luke Wilson,32,5.75
Ray Liotta,32,6.07
Kate Beckinsale,32,6.18
Glenn Close,32,6.55
Jennifer Connelly,32,6.63
Charles Bronson,32,6.54
Angelina Jolie,32,6.36
James Caan,32,6.47
Kirsten Dunst,32,6.45
Hugh Jackman,31,6.86
Vince Vaughn,31,6.20
Billy Bob Thornton,31,6.29
Mark Ruffalo,31,6.92
Demi Moore,31,6.06
Jesse Eisenberg,31,6.51
Danny Glover,31,6.25
Patrick Wilson,31,6.33
Michael Keaton,31,6.47
Dan Aykroyd,31,6.16
Steve Carell,31,6.74
Kristin Scott Thomas,31,6.64
Stellan Skarsgård,31,6.65
Lionel Barrymore,31,6.94
Woody Allen,30,7.00
Chris Evans,30,6.74
Justin Long,30,5.74
John C. Reilly,30,6.52
Reese Witherspoon,30,6.39
Andy Garcia,30,6.30
Laurence Fishburne,30,6.52
Stanley Tucci,30,6.04
Will Smith,30,6.58
Emily Blunt,30,6.44
Brendan Fraser,30,5.92
Ginger Rogers,30,6.91
Keira Knightley,30,6.65
Jack Black,30,6.33
Bruce Dern,30,6.34
Chloë Grace Moretz,29,6.24
Amy Adams,29,6.83
Paul Giamatti,29,6.36
Cuba Gooding Jr.,29,5.79
Jim Carrey,29,6.53
Anna Kendrick,29,6.34
Gael García Bernal,29,6.71
Aaron Eckhart,29,6.34
Jack Lemmon,29,7.10
William Hurt,29,6.66
Jamie Lee Curtis,29,6.15
Peter Lorre,29,6.81
Michael Shannon,29,6.28
Jeremy Irons,29,6.67
Drew Barrymore,29,6.19
Burt Reynolds,29,6.07
Peter Sarsgaard,29,6.59
James McAvoy,29,6.74
Laurence Olivier,28,7.12
Diane Lane,28,6.44
Michelle Williams,28,6.68
Elijah Wood,28,6.44
Irrfan Khan,28,6.91
Alan Arkin,28,6.69
Matt Dillon,28,6.36
Uma Thurman,28,6.01
John Hurt,28,6.65
Priyanka Chopra Jonas,28,6.21
George Sanders,28,6.93
Clive Owen,28,6.65
Tim Robbins,28,6.72
Milla Jovovich,28,5.76
Emma Thompson,28,6.72
Leonardo DiCaprio,28,7.42
Gwyneth Paltrow,28,6.45
Donald Crisp,28,6.92
Marisa Tomei,27,6.54
Steve Buscemi,27,6.60
Fredric March,27,7.01
Jeff Daniels,27,6.43
David Niven,27,6.61
Sam Rockwell,27,6.71
Jessica Chastain,27,6.67
Laura Linney,27,6.65
Don Cheadle,27,6.66
Philip Seymour Hoffman,27,7.11
Shirley MacLaine,27,6.76
James Woods,27,6.51
Rachel McAdams,27,6.90
Claude Rains,27,7.12
Meg Ryan,27,6.14
Catherine Keener,27,6.76
James Marsden,27,6.08
Viggo Mortensen,27,6.78
Winona Ryder,27,6.50
Jennifer Lopez,27,5.78
